vae,vas,pve,pvs,gee,ges,rqe,rqs,rle,rls,cce
-0.9109163,0.11991977,-1.1339917,0.23676789,-0.9130154,0.19262223,-0.6523228,0.18250711,-0.93948144,0.13749261,-0.7935735
-0.57049143,0.1263444,0.15479498,0.22680736,-0.026902404,0.19740029,0.3342734,0.16416408,-0.41828197,0.12755238,-0.5880015
1.0890943,0.23490313,0.19302593,0.29413733,1.1798545,0.32928088,1.2086376,0.3551629,1.1917176,0.2241985,1.1029465
0.4576795,0.15636729,-0.26337975,0.2701239,-0.16173571,0.17719337,0.036901258,0.16209094,-0.47553146,0.16295205,-0.15374814
1.5060297,0.16727662,1.3891996,0.27880758,1.7804271,0.31313497,1.55244,0.29610115,1.594993,0.22289126,1.7933221
-0.5363405,0.11187301,-0.34877756,0.22198433,-0.89631754,0.19980028,-0.31005225,0.18136881,-0.7339115,0.13741997,-0.78167814
-2.2031846,0.13749562,-0.5021606,0.22943297,-1.6707221,0.2465437,-2.3425252,0.22436182,-1.7155061,0.20116606,-1.4862621
1.3846716,0.14212279,1.0070107,0.2392498,1.7541623,0.21908851,1.6063895,0.22479999,1.7971002,0.1549383,1.9908804
1.0285283,0.13155152,0.7752726,0.21966553,1.00162,0.21056087,0.821373,0.22564568,1.036112,0.15071708,0.95544773
0.88168836,0.29144546,0.59663,0.4352209,0.40174252,0.30231553,0.19551355,0.39226258,-0.10616008,0.3205457,-0.019418102
-1.6894584,0.13198546,-0.77775985,0.22137748,-1.0410088,0.21287793,-1.1024542,0.19182792,-1.1569204,0.16725546,-1.1480922
0.22564517,0.1430764,0.9731331,0.25367594,0.79632664,0.28767836,-0.36881307,0.22317985,0.63563466,0.18158117,1.5537353
-0.8558782,0.2144461,-1.1040164,0.3456684,-0.490329,0.22248708,0.12273388,0.3327563,-0.6463575,0.2214034,-0.98997104
0.26625863,0.12231406,-0.15236498,0.22715022,-0.09746822,0.21247675,0.53190726,0.18998824,-0.5029122,0.15007006,-0.48867965
0.27698788,0.11025821,0.06531426,0.22578736,-0.25365278,0.1994265,-0.9281348,0.19010715,-0.6562332,0.14370902,-0.43401578
-0.42029592,0.12455451,-1.6979413,0.19638619,-0.24890482,0.2188992,-0.29542908,0.20697474,-0.720965,0.16441122,-1.0422055
1.1365772,0.16676481,1.0606366,0.27378613,1.4061755,0.29646954,0.5056514,0.29292905,1.0745385,0.18366584,1.4767557
0.01836968,0.23647669,0.011292184,0.4094311,-0.21546532,0.17910731,-0.06654592,0.30505288,-0.121130094,0.1958726,-0.4374265
-0.13244063,0.12266287,-0.07043146,0.23852235,-0.87111497,0.21260166,-0.56370527,0.16799621,-0.8511413,0.12586974,-1.0867133
1.0543466,0.1633872,0.83832735,0.30092695,0.58860666,0.18351471,0.55635494,0.22274236,0.67429274,0.18555255,0.94574326
-2.2120602,0.14169097,-0.34779295,0.22910525,-1.5728208,0.26465258,-2.363497,0.22281262,-1.6344876,0.19206415,-1.5709378
1.6218536,0.1443307,1.4386235,0.21078306,1.3507513,0.24756005,1.8081653,0.23154943,1.818318,0.16319346,2.2016952
0.1485412,0.13634871,-1.1026781,0.30065387,-1.1531206,0.26852936,-1.6328489,0.25769806,-1.2034733,0.22711854,-0.6489658
-0.7766633,0.24467503,1.2126598,0.35239625,0.59444463,0.2688031,0.9102229,0.19984,0.23348026,0.32031098,0.23950024
0.06494294,0.120090194,-0.92697734,0.21905676,-0.60467887,0.1801341,-0.464948,0.16536282,-0.39642927,0.14921919,-0.11337691
-1.1327046,0.24913126,-2.173201,0.38143334,-1.5451921,0.2604384,-1.4926801,0.37869307,-1.3143464,0.2997142,-0.7249838
-0.36344334,0.13621905,-0.5834537,0.27811614,-0.4319163,0.16646975,-0.49208,0.1464676,-0.2863038,0.14531533,-0.6076057
0.96568155,0.16309798,0.69852614,0.2860417,0.7435898,0.1788536,1.0107538,0.20848858,0.86248446,0.175007,0.6192265
1.2705594,0.18660334,-0.047485888,0.28284657,1.8160043,0.19735359,1.3043035,0.19807447,1.2477608,0.18001331,1.3489112
